City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
294,bubaque,11.2833,-15.8333,76.39,70,28,4.27,GW,1680239962
295,letterkenny,54.95,-7.7333,49.89,96,100,3.51,IE,1680239962
296,berkakit,56.5807,124.7681,33.46,100,71,11.41,RU,1680239962
297,portland,45.5234,-122.6762,48.18,68,100,8.01,US,1680239345
298,ust-kan,50.9276,84.761,17.49,61,80,8.16,RU,1680239962
299,katangli,51.7102,143.2326,32.72,97,100,6.51,RU,1680239408
300,dangriga,16.9692,-88.2321,77.27,79,2,11.45,BZ,1680239962
301,strezhevoy,60.7333,77.5889,12.18,73,24,5.26,RU,1680239962
302,carauari,-4.8828,-66.8958,71.53,99,28,0.56,BR,1680239962
303,guerrero negro,27.9769,-114.0611,56.41,65,0,16.46,MX,1680239405
304,sao joao da barra,-21.6403,-41.0511,74.77,90,100,8.59,BR,1680239398
305,clonakilty,51.6231,-8.8706,49.21,91,100,25.5,IE,1680239962
306,tessalit,20.1986,1.0114,73.2,10,0,14.45,ML,1680239422
307,kavaratti,10.5669,72.642,81.37,65,97,6.38,IN,1680239962
308,tiksi,71.6872,128.8694,-12.68,93,73,3.22,RU,1680239398
309,moscow,55.7522,37.6156,32.38,82,36,8.14,RU,1680239749
310,breyten,-26.3018,29.987,55.45,86,98,5.3,ZA,1680239963
311,muncar,-8.4333,114.3333,83.88,71,92,11.74,ID,1680239963
312,alice springs,-23.7,133.8833,88.21,40,85,14.97,AU,1680239432
313,manyana,-23.4,21.7167,67.14,55,10,6.78,BW,1680239408
314,bontang,0.1333,117.5,84.42,68,98,4.14,ID,1680239963
315,murray bridge,-35.1167,139.2667,67.12,54,59,13.2,AU,1680239963
316,ngunguru,-35.6167,174.5,63.43,58,70,9.19,NZ,1680239963
317,ekimchan,53.0667,132.9667,37.69,69,87,3.02,RU,1680239963
318,alanya,36.5438,31.9998,42.93,31,0,5.44,TR,1680239963
319,twin falls,42.3505,-114.6445,32.92,93,100,19.57,US,1680239963
320,ashland,40.8167,-82.2665,45.14,56,100,8.55,US,1680239887
321,makueni,-1.8041,37.6203,65.61,87,75,1.16,KE,1680239963
322,kamsack,51.5667,-101.9009,8.15,93,84,5.23,CA,1680239963
323,berlevag,70.8578,29.0864,17.55,73,0,16.11,NO,1680239442
324,nishihara,26.1842,127.7558,72.68,78,75,10.36,JP,1680239447
325,high level,58.5169,-117.136,24.91,58,100,11.5,CA,1680239963
326,yerbogachen,61.2767,108.0108,11.79,82,100,7.14,RU,1680239963
